Index,Height,Medal_Count_M,Medal_Count_F
18,226-230,0,0
17,221-25,4,0
16,216-220,22,0
15,211-215,42,0
14,206-210,120,2
13,201-205,361,17
12,196-200,1012,28
11,191-195,1731,118
10,186-190,3119,305
9,181-185,12188,786
8,176-180,4141,1503
7,171-175,2778,3029
6,166-170,1748,2437
5,161-165,769,1703
4,156-160,358,854
3,151-155,98,261
2,146-150,34,134
1,140-145,5,64
