code,medal,rank
USA,4853,1
CAN,3174,2
ITA,2864,3
FRA,2860,4
JPN,2674,5
GBR,2658,6
AUS,2582,7
GER,2440,8
CHN,2286,9
KOR,2164,10
ESP,2082,11
SWE,1845,12
RUS,1559,13
SUI,1435,14
ROU,1406,15
NED,1404,16
FRG,1362,17
HUN,1356,18
NOR,1232,19
POL,1223,20
AUT,1222,21
BRA,1168,22
BUL,1077,23
FIN,1061,24
URS,942,25
ARG,900,26
UKR,883,27
EUN,864,28
TCH,841,29
NZL,818,30
MEX,707,31
BLR,671,32
GRE,661,33
DEN,659,34
CUB,645,35
GDR,605,36
CZE,567,37
YUG,561,38
KAZ,485,39
BEL,477,40
POR,463,41
TPE,459,42
EGY,429,43
RSA,419,44
IRL,399,45
PUR,381,46
NGR,378,47
SLO,373,48
SVK,361,49
TUR,344,50
JAM,335,51
KEN,324,52
HKG,322,53
EST,305,54
CRO,303,55
IND,301,56
PRK,291,57
LAT,284,58
COL,282,59
LTU,256,60
THA,245,61
MAR,238,62
ISR,238,63
CHI,237,64
ALG,220,65
INA,216,66
ISL,209,67
VEN,207,68
SCG,206,69
ISV,203,70
GUA,192,71
UZB,191,72
TUN,187,73
MAS,172,74
KUW,159,75
GHA,157,76
PHI,155,77
LIE,153,78
MGL,148,79
CMR,147,80
PER,146,81
SEN,146,82
PAK,145,83
BAH,142,84
ZIM,142,85
SGP,136,86
FIJ,135,87
KSA,129,88
KGZ,128,89
ANG,126,90
CRC,125,91
BAR,123,92
IRI,123,93
CYP,121,94
LIB,111,95
SMR,106,96
DOM,103,97
GEO,102,98
MRI,102,99
HON,101,100
QAT,101,101
CIV,96,102
TTO,95,103
UGA,94,104
ANT,93,105
MDA,93,106
UAE,92,107
URU,92,108
GUM,88,109
ECU,84,110
BOL,81,111
IOA,80,112
ZAM,78,113
AND,76,114
BER,76,115
PAR,74,116
ARM,73,117
ETH,70,118
IRQ,68,119
PNG,68,120
SLE,67,121
COD,66,122
SRI,66,123
AZE,60,124
BIH,60,125
MON,56,126
BRN,54,127
LUX,54,128
SEY,54,129
MAW,53,130
OMA,53,131
CAY,52,132
BIZ,51,133
SWZ,51,134
TAN,51,135
MAD,49,136
ESA,48,137
NCA,48,138
CAF,47,139
SYR,47,140
GAM,44,141
CGO,43,142
NEP,43,143
JOR,42,144
PAN,42,145
SUR,42,146
AHO,41,147
BOT,41,148
GUY,40,149
MOZ,40,150
LBR,38,151
MLT,38,152
LES,36,153
NAM,36,154
IVB,35,155
SAM,35,156
VIE,35,157
MKD,34,158
RWA,33,159
BAN,32,160
GEQ,32,161
MDV,32,162
BEN,31,163
SUD,31,164
TOG,31,165
GUI,30,166
VIN,30,167
BHU,28,168
HAI,28,169
MLI,28,170
TGA,27,171
GAB,26,172
GRN,26,173
ARU,25,174
DJI,24,175
ALB,23,176
CHA,23,177
ASA,22,178
BUR,22,179
MTN,21,180
VAN,21,181
LBA,20,182
NIG,20,183
SOM,20,184
MYA,19,185
LAO,18,186
SKN,18,187
COK,15,188
SOL,15,189
TKM,15,190
YEM,14,191
BDI,13,192
LCA,13,193
TJK,12,194
YAR,11,195
DMA,10,196
CAM,9,197
AFG,7,198
COM,6,199
GBS,6,200
CPV,5,201
FSM,5,202
NRU,5,203
PLW,5,204
YMD,5,205
STP,4,206
BRU,3,207
ERI,3,208
PLE,3,209
