Index,Weight,Medal_Count_M,Medal_Count_F
19,121-190,192,20
18,116-120,116,7
17,111-115,129,5
16,106-110,231,7
15,101-105,456,26
14,96-100,1013,17
13,91-95,1526,46
12,86-90,2211,85
11,81-85,2604,234
10,76-80,11476,605
9,71-75,3210,1093
8,66-70,2353,1737
7,61-65,1346,3032
6,56-60,1033,2168
5,51-55,488,1182
4,46-50,132,599
3,41-45,12,251
2,36-40,2,105
1,30-35,0,32
