code,medal,rank
URS,3800,1
USA,3401,2
GBR,2517,3
POL,2329,4
ITA,2253,5
JPN,2198,6
FRA,2141,7
CAN,2061,8
HUN,2054,9
GDR,2040,10
FRG,1953,11
TCH,1821,12
SWE,1744,13
AUS,1735,14
ROU,1520,15
BUL,1485,16
SUI,1401,17
FIN,1365,18
MEX,1176,19
AUT,1167,20
GER,1157,21
YUG,1124,22
NED,1091,23
ESP,1060,24
CUB,1007,25
NOR,966,26
ARG,721,27
BEL,700,28
DEN,583,29
BRA,582,30
KOR,543,31
NZL,474,32
IRL,355,33
PUR,348,34
IRI,342,35
IND,338,36
PHI,313,37
GRE,310,38
TPE,284,39
COL,280,40
PRK,274,41
MGL,262,42
POR,262,43
TUR,248,44
VEN,239,45
THA,236,46
MAR,213,47
MAS,198,48
KEN,190,49
PER,189,50
JAM,186,51
LUX,179,52
NGR,172,53
EGY,170,54
PAK,165,55
URU,156,56
ISL,152,57
SEN,150,58
ISR,149,59
ETH,148,60
HKG,147,61
LIB,137,62
GHA,132,63
TUN,129,64
UAR,123,65
ESA,122,66
LIE,120,67
CHI,117,68
GUA,116,69
TTO,114,70
UGA,100,71
IRQ,95,72
ZIM,95,73
KUW,94,74
BAH,92,75
ALG,86,76
CRC,83,77
TAN,79,78
SYR,78,79
ZAM,77,80
RSA,76,81
ECU,69,82
PAN,60,83
CMR,58,84
NCA,57,85
SMR,53,86
INA,51,87
SUD,51,88
BAR,50,89
AFG,48,90
BER,48,91
DOM,48,92
ISV,48,93
MYA,47,94
CIV,45,95
MAD,41,96
LBA,39,97
VNM,39,98
CHN,38,99
VIE,38,100
SLE,36,101
CGO,35,102
KSA,33,103
BOL,32,104
CAM,32,105
MON,31,106
MLT,31,107
GUY,27,108
SGP,27,109
AND,25,110
GUI,25,111
SRI,25,112
HAI,22,113
CYP,21,114
SEY,21,115
AHO,20,116
BEN,20,117
WIF,20,118
LAO,19,119
NEP,19,120
MAW,18,121
ANG,17,122
ANT,17,123
MOZ,16,124
MLI,14,125
BIZ,13,126
FIJ,13,127
LBR,13,128
RHO,12,129
CHA,11,130
MAL,11,131
PAR,10,132
HON,9,133
LES,9,134
PNG,9,135
BOT,8,136
COD,8,137
SUR,8,138
NIG,7,139
TOG,7,140
JOR,6,141
ALB,5,142
SOM,4,143
SWZ,4,144
CAY,2,145
BUR,1,146
CAF,1,147
GAB,1,148
